"","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT","type","filename","CRQA"
"1",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8d_TurnTaking.csv","Surrogate"
"2",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8d_TurnTaking.csv","Surrogate"
"3",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8d_Synchronous.csv","Surrogate"
"4",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8d_Synchronous.csv","Surrogate"
"5",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8d_Conversation.csv","Surrogate"
"6",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8d_Conversation.csv","Surrogate"
"7",0.000983669447718788,44.4444444444444,12,2,2,0,NA,98.1481481481482,3.53333333333333,"Resp","Study2_SurrogateGroup9&8c_TurnTaking.csv","Surrogate"
"8",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8c_TurnTaking.csv","Surrogate"
"9",0.169318657713817,86.8208714362561,2543,10,3.17341722375147,1.48986581589619,0.678067154019554,96.1269499731038,6.32342533616419,"Resp","Study2_SurrogateGroup9&8c_Synchronous.csv","Surrogate"
"10",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8c_Synchronous.csv","Surrogate"
"11",0.111263944197525,80.5337262606418,1831,8,2.68651010376843,1.12643825393971,0.578874751481495,94.3516699410609,3.97448275862069,"Resp","Study2_SurrogateGroup9&8c_Conversation.csv","Surrogate"
"12",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8c_Conversation.csv","Surrogate"
"13",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8b_TurnTaking.csv","Surrogate"
"14",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8b_TurnTaking.csv","Surrogate"
"15",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8b_Synchronous.csv","Surrogate"
"16",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8b_Synchronous.csv","Surrogate"
"17",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8b_Conversation.csv","Surrogate"
"18",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8b_Conversation.csv","Surrogate"
"19",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8a_TurnTaking.csv","Surrogate"
"20",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8a_TurnTaking.csv","Surrogate"
"21",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8a_Synchronous.csv","Surrogate"
"22",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8a_Synchronous.csv","Surrogate"
"23",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&8a_Conversation.csv","Surrogate"
"24",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&8a_Conversation.csv","Surrogate"
"25",0.326323231230266,68.9349112426035,4441,15,2.78068002702094,1.20285480121195,0.468958499204984,78.5140113877414,3.1799683472756,"Resp","Study2_SurrogateGroup9&7d_TurnTaking.csv","Surrogate"
"26",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7d_TurnTaking.csv","Surrogate"
"27",0.874372842416701,77.76875,12374,26,3.01672862453532,1.38670202037194,0.448619532502809,90.8875,3.84031690140845,"Resp","Study2_SurrogateGroup9&7d_Synchronous.csv","Surrogate"
"28",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7d_Synchronous.csv","Surrogate"
"29",0.723306717788332,65.4544538746317,9909,14,2.62286809970734,1.06899460986451,0.416770259714783,78.3262397058453,2.99537705865357,"Resp","Study2_SurrogateGroup9&7d_Conversation.csv","Surrogate"
"30",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7d_Conversation.csv","Surrogate"
"31",0.163143399514249,34.2117016525234,1293,7,2.36968290796597,0.777008567805543,0.433656738613639,53.3720410897722,2.67637178051512,"Resp","Study2_SurrogateGroup9&7c_TurnTaking.csv","Surrogate"
"32",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7c_TurnTaking.csv","Surrogate"
"33",0.1561666328758,58.3926280181967,1935,10,2.58708010335917,1.03506228870152,0.471077148589139,78.2689840195964,2.89848812095032,"Resp","Study2_SurrogateGroup9&7c_Synchronous.csv","Surrogate"
"34",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7c_Synchronous.csv","Surrogate"
"35",0.373721525729605,50.3850653148762,4045,12,2.55550061804697,0.997693151784445,0.433292630452648,74.2201208812634,3.04418232706917,"Resp","Study2_SurrogateGroup9&7c_Conversation.csv","Surrogate"
"36",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7c_Conversation.csv","Surrogate"
"37",0.167405967121031,33.8520130576714,1354,7,2.29763663220089,0.694536375026869,0.387628131428878,69.9020674646355,2.89108910891089,"Resp","Study2_SurrogateGroup9&7b_TurnTaking.csv","Surrogate"
"38",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7b_TurnTaking.csv","Surrogate"
"39",0.278833856226509,47.5795387731103,2925,9,2.48991452991453,0.939297620247526,0.451706672883303,83.6806689749788,3.53644395361679,"Resp","Study2_SurrogateGroup9&7b_Synchronous.csv","Surrogate"
"40",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7b_Synchronous.csv","Surrogate"
"41",0.0815716997571247,49.5310406431443,876,11,2.53196347031963,0.983160512801101,0.50524455781188,81.9115676641358,3.19512195121951,"Resp","Study2_SurrogateGroup9&7b_Conversation.csv","Surrogate"
"42",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7b_Conversation.csv","Surrogate"
"43",0.314063795335549,52.7869613131489,3681,9,2.47242597120348,0.917310687332159,0.441133193189517,90.4877907313961,4.39712514092446,"Resp","Study2_SurrogateGroup9&7a_TurnTaking.csv","Surrogate"
"44",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7a_TurnTaking.csv","Surrogate"
"45",0.164600687584944,59.3514829570606,1989,12,2.69632981397687,1.13345391956694,0.515857109581885,91.8326693227092,4.85263157894737,"Resp","Study2_SurrogateGroup9&7a_Synchronous.csv","Surrogate"
"46",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7a_Synchronous.csv","Surrogate"
"47",0.378184470446107,54.0436395164009,4580,9,2.44978165938865,0.885792459962019,0.425976129748013,89.2587062280237,4.07364255880413,"Resp","Study2_SurrogateGroup9&7a_Conversation.csv","Surrogate"
"48",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&7a_Conversation.csv","Surrogate"
"49",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&6d_TurnTaking.csv","Surrogate"
"50",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&6d_TurnTaking.csv","Surrogate"
"51",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&6d_Synchronous.csv","Surrogate"
"52",0,NA,0,0,0,NA,NA,NA,NA,"HR","Study2_SurrogateGroup9&6d_Synchronous.csv","Surrogate"
"53",0,NA,0,0,0,NA,NA,NA,NA,"Resp","Study2_SurrogateGroup9&6d_Conversation.csv","Surrogate"
